Player,Rating,ACS,Kills,Deaths,Assists,+/-,KAST,ADR,HS%,FK,FD,FK-Diff,Rounds
raafa,0.79,157,22,29,12,-7,65%,112,19%,4,4,0,43
heat,0.77,162,25,32,9,-7,58%,115,45%,0,4,-4,43
xenom,1.40,232,37,21,14,+16,80%,150,23%,5,4,+1,41
artzin,1.23,283,41,33,15,+8,78%,166,24%,9,3,+6,41
cortezia,0.99,180,28,25,6,+3,71%,114,36%,6,4,+2,41
Verno,0.99,163,23,25,17,-2,76%,134,33%,0,4,-4,41
aspas,0.95,171,25,21,7,+4,76%,112,12%,2,4,-2,41
tex,1.03,225,34,30,2,+4,63%,151,48%,8,2,+6,41
C0M,0.94,195,25,32,11,-7,76%,143,26%,3,3,0,41
Rossy,0.89,181,26,32,14,-6,68%,119,35%,2,2,0,41
Demon1,0.79,138,21,28,10,-7,66%,103,33%,1,5,-4,41
kiNgg,0.64,141,19,32,7,-13,68%,93,20%,5,10,-5,41
Zap,1.07,205,34,31,9,+3,71%,135,22%,2,1,+1,45
gobera,0.99,203,33,31,4,+2,60%,140,36%,7,4,+3,45
Askia,0.97,214,34,35,6,-1,60%,157,30%,5,6,-1,45
silentzz,0.78,223,34,42,6,-8,62%,143,48%,6,4,+2,45
lz,0.76,144,22,33,24,-11,64%,87,30%,3,7,-4,45
NaturE,1.24,232,37,31,25,+6,80%,138,21%,3,4,-1,45
yay,1.20,252,43,33,7,+10,80%,176,33%,3,5,-2,45
Derrek,1.02,177,26,28,17,-2,82%,123,35%,5,3,+2,45
supamen,1.01,197,31,32,13,-1,71%,134,27%,2,5,-3,45
icy,0.97,210,35,33,7,+2,73%,132,17%,9,6,+3,45
bang,1.32,222,42,30,22,+12,80%,139,35%,5,3,+2,54
Zellsis,1.23,232,45,30,8,+15,69%,135,24%,4,6,-2,54
johnqt,1.14,198,38,33,12,+5,72%,130,21%,4,3,+1,54
zekken,0.99,227,40,39,17,+1,69%,138,24%,9,14,-5,54
N4RRATE,0.98,194,35,38,28,-3,74%,122,19%,2,4,-2,54
Cryocells,1.04,199,39,37,19,+2,74%,135,28%,5,3,+2,54
Asuna,1.00,217,39,44,18,-5,76%,162,33%,17,14,+3,54
eeiu,1.00,175,38,37,8,+1,72%,117,29%,1,1,0,54
